"pollscore","pct","pollster","answer","end_date","sample_size","transparency_score"
0.4,44,"Redfield & Wilton Strategies","Harris","10/14/24",1009,9
0.4,50,"Redfield & Wilton Strategies","Trump","10/14/24",1009,9
0.4,0,"Redfield & Wilton Strategies","Oliver","10/14/24",1009,9
0.4,1,"Redfield & Wilton Strategies","Stein","10/14/24",1009,9
0.4,47,"Redfield & Wilton Strategies","Harris","10/14/24",637,9
0.4,47,"Redfield & Wilton Strategies","Trump","10/14/24",637,9
0.4,1,"Redfield & Wilton Strategies","Oliver","10/14/24",637,9
0.4,2,"Redfield & Wilton Strategies","Stein","10/14/24",637,9
0.4,47,"Redfield & Wilton Strategies","Harris","10/14/24",682,9
0.4,47,"Redfield & Wilton Strategies","Trump","10/14/24",682,9
0.4,1,"Redfield & Wilton Strategies","Oliver","10/14/24",682,9
0.4,0,"Redfield & Wilton Strategies","Stein","10/14/24",682,9
0.4,51,"Redfield & Wilton Strategies","Harris","10/14/24",544,9
0.4,43,"Redfield & Wilton Strategies","Trump","10/14/24",544,9
0.4,0,"Redfield & Wilton Strategies","Oliver","10/14/24",544,9
0.4,1,"Redfield & Wilton Strategies","Stein","10/14/24",544,9
0.4,47,"Redfield & Wilton Strategies","Harris","10/14/24",838,9
0.4,47,"Redfield & Wilton Strategies","Trump","10/14/24",838,9
0.4,1,"Redfield & Wilton Strategies","Oliver","10/14/24",838,9
0.4,0,"Redfield & Wilton Strategies","Stein","10/14/24",838,9
0.4,49,"Redfield & Wilton Strategies","Harris","10/14/24",382,9
0.4,45,"Redfield & Wilton Strategies","Trump","10/14/24",382,9
0.4,1,"Redfield & Wilton Strategies","Oliver","10/14/24",382,9
0.4,2,"Redfield & Wilton Strategies","Stein","10/14/24",382,9
0.4,48,"Redfield & Wilton Strategies","Harris","10/14/24",1649,9
0.4,48,"Redfield & Wilton Strategies","Trump","10/14/24",1649,9
0.4,1,"Redfield & Wilton Strategies","Oliver","10/14/24",1649,9
0.4,0,"Redfield & Wilton Strategies","Stein","10/14/24",1649,9
0.4,48,"Redfield & Wilton Strategies","Harris","10/14/24",641,9
0.4,47,"Redfield & Wilton Strategies","Trump","10/14/24",641,9
0.4,1,"Redfield & Wilton Strategies","Oliver","10/14/24",641,9
0.4,1,"Redfield & Wilton Strategies","Stein","10/14/24",641,9
-1.1,46.6,"Cygnal","Harris","10/14/24",600,4
-1.1,47.2,"Cygnal","Trump","10/14/24",600,4
-1.1,0.9,"Cygnal","Oliver","10/14/24",600,4
-1.1,0.1,"Cygnal","Terry","10/14/24",600,4
-1.1,0.4,"Cygnal","Stein","10/14/24",600,4
-1.1,0.6,"Cygnal","West","10/14/24",600,4
-1.1,48,"Beacon/Shaw","Harris","10/14/24",1110,9
-1.1,50,"Beacon/Shaw","Trump","10/14/24",1110,9
-1.1,48,"Beacon/Shaw","Harris","10/14/24",870,9
-1.1,50,"Beacon/Shaw","Trump","10/14/24",870,9
-0.5,45,"Quinnipiac","Harris","10/14/24",1328,9
-0.5,52,"Quinnipiac","Trump","10/14/24",1328,9
-0.5,1,"Quinnipiac","Stein","10/14/24",1328,9
-0.5,1,"Quinnipiac","Oliver","10/14/24",1328,9
-0.5,46,"Quinnipiac","Harris","10/14/24",1328,9
-0.5,52,"Quinnipiac","Trump","10/14/24",1328,9
-0.5,49,"Quinnipiac","Harris","10/14/24",1031,9
-0.5,47,"Quinnipiac","Trump","10/14/24",1031,9
-0.5,0,"Quinnipiac","Stein","10/14/24",1031,9
-0.5,1,"Quinnipiac","Oliver","10/14/24",1031,9
-0.5,0,"Quinnipiac","West","10/14/24",1031,9
-0.5,0,"Quinnipiac","Terry","10/14/24",1031,9
-0.5,50,"Quinnipiac","Harris","10/14/24",1031,9
-0.5,47,"Quinnipiac","Trump","10/14/24",1031,9
-1.3,57,"SurveyUSA","Harris","10/14/24",703,8
-1.3,35,"SurveyUSA","Trump","10/14/24",703,8
-0.5,45.8,"East Carolina University","Harris","10/14/24",701,7
-0.5,48.9,"East Carolina University","Trump","10/14/24",701,7
-0.5,0.4,"East Carolina University","Oliver","10/14/24",701,7
-0.5,1.4,"East Carolina University","Stein","10/14/24",701,7
-0.6,50,"Fairleigh Dickinson","Harris","10/14/24",806,9.5
-0.6,47,"Fairleigh Dickinson","Trump","10/14/24",806,9.5
-0.4,49,"TIPP","Harris","10/13/24",1212,3
-0.4,46,"TIPP","Trump","10/13/24",1212,3
-0.1,49,"HarrisX/Harris Poll","Harris","10/13/24",2596,7
-0.1,48,"HarrisX/Harris Poll","Trump","10/13/24",2596,7
-0.1,1,"HarrisX/Harris Poll","West","10/13/24",2596,7
-0.1,1,"HarrisX/Harris Poll","Stein","10/13/24",2596,7
-0.1,51,"HarrisX/Harris Poll","Harris","10/13/24",2596,7
-0.1,49,"HarrisX/Harris Poll","Trump","10/13/24",2596,7
-0.1,51,"HarrisX/Harris Poll","Harris","10/13/24",3145,7
-0.1,49,"HarrisX/Harris Poll","Trump","10/13/24",3145,7
-0.1,49,"HarrisX/Harris Poll","Harris","10/13/24",3145,7
-0.1,48,"HarrisX/Harris Poll","Trump","10/13/24",3145,7
-0.1,2,"HarrisX/Harris Poll","West","10/13/24",3145,7
-0.1,1,"HarrisX/Harris Poll","Stein","10/13/24",3145,7
-0.3,50,"Morning Consult","Harris","10/13/24",8647,3
-0.3,46,"Morning Consult","Trump","10/13/24",8647,3
-0.9,45,"Ipsos","Harris","10/13/24",807,9.5
-0.9,42,"Ipsos","Trump","10/13/24",807,9.5
-0.9,47,"Ipsos","Harris","10/13/24",769,9.5
-0.9,44,"Ipsos","Trump","10/13/24",769,9.5
-0.9,41,"Ipsos","Harris","10/13/24",938,9.5
-0.9,37,"Ipsos","Trump","10/13/24",938,9.5
0.6,46,"Trafalgar Group","Harris","10/13/24",1090,4
0.6,47.5,"Trafalgar Group","Trump","10/13/24",1090,4
0.6,44.6,"Trafalgar Group","Harris","10/13/24",1085,4
0.6,46.5,"Trafalgar Group","Trump","10/13/24",1085,4
0.6,45.6,"Trafalgar Group","Harris","10/13/24",1088,4
0.6,44.8,"Trafalgar Group","Trump","10/13/24",1088,4
-0.3,50,"Morning Consult","Harris","10/12/24",8901,3
-0.3,46,"Morning Consult","Trump","10/12/24",8901,3
-0.2,57,"Elway","Harris","10/12/24",401,6
-0.2,32,"Elway","Trump","10/12/24",401,6
-0.3,50,"Morning Consult","Harris","10/11/24",8902,3
-0.3,46,"Morning Consult","Trump","10/11/24",8902,3
-0.1,51,"HarrisX","Harris","10/11/24",2010,6
-0.1,49,"HarrisX","Trump","10/11/24",2010,6
-0.1,51,"HarrisX","Harris","10/11/24",1692,6
-0.1,49,"HarrisX","Trump","10/11/24",1692,6
-0.1,51,"HarrisX","Harris","10/11/24",1622,6
-0.1,49,"HarrisX","Trump","10/11/24",1622,6
-0.1,49,"HarrisX","Harris","10/11/24",2010,6
-0.1,46,"HarrisX","Trump","10/11/24",2010,6
-0.1,2,"HarrisX","West","10/11/24",2010,6
-0.1,2,"HarrisX","Stein","10/11/24",2010,6
-0.1,49,"HarrisX","Harris","10/11/24",1692,6
-0.1,48,"HarrisX","Trump","10/11/24",1692,6
-0.1,1,"HarrisX","West","10/11/24",1692,6
-0.1,1,"HarrisX","Stein","10/11/24",1692,6
-0.1,49,"HarrisX","Harris","10/11/24",1622,6
-0.1,49,"HarrisX","Trump","10/11/24",1622,6
-0.1,1,"HarrisX","West","10/11/24",1622,6
-0.1,1,"HarrisX","Stein","10/11/24",1622,6
-1.1,51,"YouGov","Harris","10/11/24",2712,9
-1.1,48,"YouGov","Trump","10/11/24",2712,9
0.1,44.9,"MRG (Marketing Resource Group)","Harris","10/11/24",600,6
0.1,44,"MRG (Marketing Resource Group)","Trump","10/11/24",600,6
0.1,2.6,"MRG (Marketing Resource Group)","Kennedy","10/11/24",600,6
0.1,2.1,"MRG (Marketing Resource Group)","Stein","10/11/24",600,6
0.1,0.5,"MRG (Marketing Resource Group)","West","10/11/24",600,6
0.1,0,"MRG (Marketing Resource Group)","Kishore","10/11/24",600,6
0.1,0,"MRG (Marketing Resource Group)","Terry","10/11/24",600,6
0.1,1.2,"MRG (Marketing Resource Group)","Oliver","10/11/24",600,6
-0.3,50,"Morning Consult","Harris","10/10/24",9556,3
-0.3,46,"Morning Consult","Trump","10/10/24",9556,3
-0.9,52,"Marist","Harris","10/10/24",1401,9
-0.9,47,"Marist","Trump","10/10/24",1401,9
-0.9,51,"Marist","Harris","10/10/24",1708,9
-0.9,48,"Marist","Trump","10/10/24",1708,9
-0.4,50,"RMG Research","Harris","10/10/24",2945,5
-0.4,47,"RMG Research","Trump","10/10/24",2945,5
-1.5,50,"Siena/NYT","Harris","10/10/24",857,9
-1.5,47,"Siena/NYT","Trump","10/10/24",857,9
-1.5,49,"Siena/NYT","Harris","10/10/24",857,9
-1.5,45,"Siena/NYT","Trump","10/10/24",857,9
-1.5,2,"Siena/NYT","Stein","10/10/24",857,9
-1.5,1,"Siena/NYT","Oliver","10/10/24",857,9
-1.5,50,"Siena/NYT","Harris","10/10/24",857,9
-1.5,47,"Siena/NYT","Trump","10/10/24",857,9
-1.5,49,"Siena/NYT","Harris","10/10/24",857,9
-1.5,45,"Siena/NYT","Trump","10/10/24",857,9
-1.5,1,"Siena/NYT","Stein","10/10/24",857,9
-1.5,0,"Siena/NYT","Oliver","10/10/24",857,9
-1.5,46,"Siena/NYT","Harris","10/10/24",808,9
-1.5,51,"Siena/NYT","Trump","10/10/24",808,9
-1.5,45,"Siena/NYT","Harris","10/10/24",808,9
-1.5,50,"Siena/NYT","Trump","10/10/24",808,9
-1.5,1,"Siena/NYT","Stein","10/10/24",808,9
-1.5,0,"Siena/NYT","Oliver","10/10/24",808,9
-1.5,45,"Siena/NYT","Harris","10/10/24",808,9
-1.5,51,"Siena/NYT","Trump","10/10/24",808,9
-1.5,44,"Siena/NYT","Harris","10/10/24",808,9
-1.5,49,"Siena/NYT","Trump","10/10/24",808,9
-1.5,2,"Siena/NYT","Stein","10/10/24",808,9
-1.5,1,"Siena/NYT","Oliver","10/10/24",808,9
-0.4,47,"RMG Research","Harris","10/10/24",731,5
-0.4,50,"RMG Research","Trump","10/10/24",731,5
-0.4,56,"UMass Amherst/YouGov","Harris","10/10/24",700,7.5
-0.4,30,"UMass Amherst/YouGov","Trump","10/10/24",700,7.5
-0.4,2,"UMass Amherst/YouGov","Stein","10/10/24",700,7.5
-0.4,1,"UMass Amherst/YouGov","Oliver","10/10/24",700,7.5
-0.4,1,"UMass Amherst/YouGov","De la Cruz","10/10/24",700,7.5
-0.4,1,"UMass Amherst/YouGov","Ayyadurai","10/10/24",700,7.5
-1,50,"University of Massachusetts Lowell/YouGov","Harris","10/10/24",600,9
-1,41,"University of Massachusetts Lowell/YouGov","Trump","10/10/24",600,9
-1,1,"University of Massachusetts Lowell/YouGov","Stein","10/10/24",600,9
-1,1,"University of Massachusetts Lowell/YouGov","Oliver","10/10/24",600,9
-1.1,46,"YouGov","Harris","10/10/24",1091,9
-1.1,51,"YouGov","Trump","10/10/24",1091,9
-1.1,2,"YouGov","Stein","10/10/24",1091,9
-1.1,1,"YouGov","Oliver","10/10/24",1091,9
-1.1,50,"Marquette Law School","Harris","10/10/24",780,10
-1.1,50,"Marquette Law School","Trump","10/10/24",780,10
-1.1,43,"Marquette Law School","Harris","10/10/24",780,10
-1.1,39,"Marquette Law School","Trump","10/10/24",780,10
-1.1,10,"Marquette Law School","Kennedy","10/10/24",780,10
-1.1,3,"Marquette Law School","Oliver","10/10/24",780,10
-1.1,1,"Marquette Law School","Stein","10/10/24",780,10
-1.1,3,"Marquette Law School","West","10/10/24",780,10
-1.1,50,"Marquette Law School","Harris","10/10/24",652,10
-1.1,50,"Marquette Law School","Trump","10/10/24",652,10
-1.1,44,"Marquette Law School","Harris","10/10/24",652,10
-1.1,41,"Marquette Law School","Trump","10/10/24",652,10
-1.1,9,"Marquette Law School","Kennedy","10/10/24",652,10
-1.1,2,"Marquette Law School","Oliver","10/10/24",652,10
-1.1,1,"Marquette Law School","Stein","10/10/24",652,10
-1.1,2,"Marquette Law School","West","10/10/24",652,10
-0.3,46,"U. Houston","Harris","10/10/24",1329,4
-0.3,51,"U. Houston","Trump","10/10/24",1329,4
-0.3,1,"U. Houston","Stein","10/10/24",1329,4
-0.3,0,"U. Houston","Oliver","10/10/24",1329,4
-0.3,46,"InsiderAdvantage","Harris","10/9/24",800,5
-0.3,48,"InsiderAdvantage","Trump","10/9/24",800,5
-0.3,48,"InsiderAdvantage","Harris","10/9/24",800,5
-0.3,48,"InsiderAdvantage","Trump","10/9/24",800,5
0.4,47,"Redfield & Wilton Strategies","Harris","10/9/24",608,9
0.4,48,"Redfield & Wilton Strategies","Trump","10/9/24",608,9
0.4,1,"Redfield & Wilton Strategies","Oliver","10/9/24",608,9
0.4,1,"Redfield & Wilton Strategies","Stein","10/9/24",608,9
0.4,46,"Redfield & Wilton Strategies","Harris","10/9/24",707,9
0.4,48,"Redfield & Wilton Strategies","Trump","10/9/24",707,9
0.4,1,"Redfield & Wilton Strategies","Oliver","10/9/24",707,9
0.4,0,"Redfield & Wilton Strategies","Stein","10/9/24",707,9
-0.1,43,"Alaska Survey Research","Harris","10/9/24",1254,7
-0.1,50,"Alaska Survey Research","Trump","10/9/24",1254,7
-0.1,7,"Alaska Survey Research","Kennedy","10/9/24",1254,7
-0.1,46,"Alaska Survey Research","Harris","10/9/24",1254,7
-0.1,54,"Alaska Survey Research","Trump","10/9/24",1254,7
-0.4,49.2,"TIPP","Harris","10/9/24",1079,3
-0.4,45.3,"TIPP","Trump","10/9/24",1079,3
-0.4,47.5,"TIPP","Harris","10/9/24",803,3
-0.4,48.9,"TIPP","Trump","10/9/24",803,3
-0.4,48.5,"TIPP","Harris","10/9/24",1079,3
-0.4,44.9,"TIPP","Trump","10/9/24",1079,3
-0.4,1.3,"TIPP","West","10/9/24",1079,3
-0.4,0.5,"TIPP","Stein","10/9/24",1079,3
-0.4,48.3,"TIPP","Harris","10/9/24",803,3
-0.4,49,"TIPP","Trump","10/9/24",803,3
-0.4,1.3,"TIPP","West","10/9/24",803,3
-0.4,0.2,"TIPP","Stein","10/9/24",803,3
-0.3,50,"Morning Consult","Harris","10/9/24",10188,3
-0.3,46,"Morning Consult","Trump","10/9/24",10188,3
0.3,46,"Fabrizio/McLaughlin","Harris","10/9/24",800,1
0.3,49,"Fabrizio/McLaughlin","Trump","10/9/24",800,1
0.3,45,"Fabrizio/McLaughlin","Harris","10/9/24",800,1
0.3,50,"Fabrizio/McLaughlin","Trump","10/9/24",800,1
0.3,48,"Fabrizio/McLaughlin","Harris","10/9/24",800,1
0.3,49,"Fabrizio/McLaughlin","Trump","10/9/24",800,1
0.3,47,"Fabrizio/McLaughlin","Harris","10/9/24",800,1
0.3,50,"Fabrizio/McLaughlin","Trump","10/9/24",800,1
0.3,47,"Fabrizio/McLaughlin","Harris","10/9/24",800,1
0.3,48,"Fabrizio/McLaughlin","Trump","10/9/24",800,1
0.3,48,"Fabrizio/McLaughlin","Harris","10/9/24",800,1
0.3,49,"Fabrizio/McLaughlin","Trump","10/9/24",800,1
0.3,48,"Fabrizio/McLaughlin","Harris","10/9/24",800,1
0.3,49,"Fabrizio/McLaughlin","Trump","10/9/24",800,1
-1,46,"University of Massachusetts Lowell/YouGov","Harris","10/9/24",800,9
-1,45,"University of Massachusetts Lowell/YouGov","Trump","10/9/24",800,9
-1,1,"University of Massachusetts Lowell/YouGov","Stein","10/9/24",800,9
-1,0,"University of Massachusetts Lowell/YouGov","Oliver","10/9/24",800,9
-0.3,47,"InsiderAdvantage","Harris","10/8/24",800,5
-0.3,49,"InsiderAdvantage","Trump","10/8/24",800,5
0.6,44.9,"Trafalgar Group","Harris","10/8/24",1089,4
0.6,46.2,"Trafalgar Group","Trump","10/8/24",1089,4
0.3,49,"co/efficient","Harris","10/8/24",2180,5
0.3,47,"co/efficient","Trump","10/8/24",2180,5
-0.3,50,"Morning Consult","Harris","10/8/24",10812,3
-0.3,46,"Morning Consult","Trump","10/8/24",10812,3
-1.1,48.2,"Emerson","Harris","10/8/24",1000,7
-1.1,50.5,"Emerson","Trump","10/8/24",1000,7
-1.1,49.8,"Emerson","Harris","10/8/24",1000,7
-1.1,49.7,"Emerson","Trump","10/8/24",1000,7
-1.1,49.7,"Emerson","Harris","10/8/24",950,7
-1.1,49.6,"Emerson","Trump","10/8/24",950,7
-1.1,49.2,"Emerson","Harris","10/8/24",900,7
-1.1,48.1,"Emerson","Trump","10/8/24",900,7
-1.1,49,"Emerson","Harris","10/8/24",1000,7
-1.1,49.9,"Emerson","Trump","10/8/24",1000,7
-1.1,49,"Emerson","Harris","10/8/24",1000,7
-1.1,49.7,"Emerson","Trump","10/8/24",1000,7
-1.1,49.2,"Emerson","Harris","10/8/24",1000,7
-1.1,49.9,"Emerson","Trump","10/8/24",1000,7
-1.5,39,"Siena/NYT","Harris","10/8/24",656,9
-1.5,57,"Siena/NYT","Trump","10/8/24",656,9
-1.5,38,"Siena/NYT","Harris","10/8/24",656,9
-1.5,56,"Siena/NYT","Trump","10/8/24",656,9
-1.5,0,"Siena/NYT","Stein","10/8/24",656,9
-1.5,0,"Siena/NYT","Oliver","10/8/24",656,9
-1.5,40,"Siena/NYT","Harris","10/8/24",656,9
-1.5,57,"Siena/NYT","Trump","10/8/24",656,9
-1.5,39,"Siena/NYT","Harris","10/8/24",656,9
-1.5,56,"Siena/NYT","Trump","10/8/24",656,9
-1.5,0,"Siena/NYT","Stein","10/8/24",656,9
-1.5,0,"Siena/NYT","Oliver","10/8/24",656,9
0.2,47,"J.L. Partners","Harris","10/8/24",800,6
0.2,47,"J.L. Partners","Trump","10/8/24",800,6
0.2,1,"J.L. Partners","Oliver","10/8/24",800,6
0.2,1,"J.L. Partners","Stein","10/8/24",800,6
-0.4,44,"Tarrance","Harris","10/8/24",818,1
-0.4,51,"Tarrance","Trump","10/8/24",818,1
-0.7,46,"Hart/POS","Harris","10/8/24",1000,4
-0.7,47,"Hart/POS","Trump","10/8/24",1000,4
-0.7,2,"Hart/POS","Kennedy","10/8/24",1000,4
-0.7,0,"Hart/POS","West","10/8/24",1000,4
-0.7,1,"Hart/POS","Stein","10/8/24",1000,4
-0.7,1,"Hart/POS","Oliver","10/8/24",1000,4
-0.7,0,"Hart/POS","Terry","10/8/24",1000,4
-0.7,48,"Hart/POS","Harris","10/8/24",1000,4
-0.7,48,"Hart/POS","Trump","10/8/24",1000,4
-0.9,49,"Ipsos","Harris","10/8/24",2631,9.5
-0.9,48,"Ipsos","Trump","10/8/24",2631,9.5
-0.9,0,"Ipsos","West","10/8/24",2631,9.5
-0.9,1,"Ipsos","Stein","10/8/24",2631,9.5
-0.9,1,"Ipsos","Oliver","10/8/24",2631,9.5
-0.9,49,"Ipsos","Harris","10/8/24",2226,9.5
-0.9,47,"Ipsos","Trump","10/8/24",2226,9.5
-0.9,0,"Ipsos","West","10/8/24",2226,9.5
-0.9,1,"Ipsos","Stein","10/8/24",2226,9.5
-0.9,1,"Ipsos","Oliver","10/8/24",2226,9.5
-0.9,50,"Ipsos","Harris","10/8/24",1714,9.5
-0.9,48,"Ipsos","Trump","10/8/24",1714,9.5
-0.9,0,"Ipsos","West","10/8/24",1714,9.5
-0.9,0,"Ipsos","Stein","10/8/24",1714,9.5
-0.9,1,"Ipsos","Oliver","10/8/24",1714,9.5
-0.9,50,"Ipsos","Harris","10/8/24",2631,9.5
-0.9,49,"Ipsos","Trump","10/8/24",2631,9.5
-0.9,50,"Ipsos","Harris","10/8/24",2226,9.5
-0.9,49,"Ipsos","Trump","10/8/24",2226,9.5
-0.9,51,"Ipsos","Harris","10/8/24",1714,9.5
-0.9,48,"Ipsos","Trump","10/8/24",1714,9.5
0.6,38,"Change Research","Harris","10/8/24",895,5
0.6,58,"Change Research","Trump","10/8/24",895,5
-0.3,46,"Fabrizio/Impact","Harris","10/8/24",600,2
-0.3,46,"Fabrizio/Impact","Trump","10/8/24",600,2
-0.3,3,"Fabrizio/Impact","Kennedy","10/8/24",600,2
-0.3,1,"Fabrizio/Impact","Stein","10/8/24",600,2
-0.3,0,"Fabrizio/Impact","Oliver","10/8/24",600,2
-0.3,0,"Fabrizio/Impact","West","10/8/24",600,2
-0.3,48,"Fabrizio/Impact","Harris","10/8/24",600,2
-0.3,49,"Fabrizio/Impact","Trump","10/8/24",600,2
0.1,35,"Targoz Market Research","Harris","10/8/24",1200,7
0.1,54,"Targoz Market Research","Trump","10/8/24",1200,7
0.1,5,"Targoz Market Research","Kennedy","10/8/24",1200,7
0.1,1,"Targoz Market Research","Oliver","10/8/24",1200,7
0.1,1,"Targoz Market Research","Stein","10/8/24",1200,7
0.1,35,"Targoz Market Research","Harris","10/8/24",971,7
0.1,56,"Targoz Market Research","Trump","10/8/24",971,7
0.1,5,"Targoz Market Research","Kennedy","10/8/24",971,7
0.1,1,"Targoz Market Research","Oliver","10/8/24",971,7
0.1,0,"Targoz Market Research","Stein","10/8/24",971,7
-1.1,47,"YouGov","Harris","10/7/24",1414,9
-1.1,44,"YouGov","Trump","10/7/24",1414,9
-1.1,1,"YouGov","Stein","10/7/24",1414,9
-1.1,0,"YouGov","West","10/7/24",1414,9
-1.1,49,"YouGov","Harris","10/7/24",1230,9
-1.1,45,"YouGov","Trump","10/7/24",1230,9
-1.1,1,"YouGov","Stein","10/7/24",1230,9
-1.1,0,"YouGov","West","10/7/24",1230,9
-0.5,51,"Research Co.","Harris","10/7/24",450,6
-0.5,48,"Research Co.","Trump","10/7/24",450,6
-0.5,50,"Research Co.","Harris","10/7/24",450,6
-0.5,49,"Research Co.","Trump","10/7/24",450,6
-0.5,50,"Research Co.","Harris","10/7/24",450,6
-0.5,48,"Research Co.","Trump","10/7/24",450,6
-0.3,51,"Morning Consult","Harris","10/7/24",11739,3
-0.3,45,"Morning Consult","Trump","10/7/24",11739,3
-0.9,42,"Ipsos","Harris","10/7/24",1272,9.5
-0.9,38,"Ipsos","Trump","10/7/24",1272,9.5
-0.9,46,"Ipsos","Harris","10/7/24",1076,9.5
-0.9,43,"Ipsos","Trump","10/7/24",1076,9.5
-0.9,47,"Ipsos","Harris","10/7/24",1076,9.5
-0.9,45,"Ipsos","Trump","10/7/24",1076,9.5
-0.9,48,"Ipsos","Harris","10/7/24",1272,9.5
-0.9,47,"Ipsos","Trump","10/7/24",1272,9.5
-0.9,50,"Ipsos","Harris","10/7/24",1076,9.5
-0.9,48,"Ipsos","Trump","10/7/24",1076,9.5
-0.9,51,"Ipsos","Harris","10/7/24",1076,9.5
