poll_id,answer,pollscore,sample_size,pct,stage,transparency_score,numeric_grade,end_date,ranked_choice_reallocated
36,Stein,-0.3,2642,50.20457704551518,general,3,1.9,2024-10-08,FALSE
37,Stein,-0.3,1753,40.94521059188992,general,3,1.9,2024-06-27,FALSE
38,Trump,-0.3,1322,58.397502060979605,general,3,1.9,2024-04-16,TRUE
39,West,-0.3,2393,40.947474534623325,general,3,1.9,2024-01-28,FALSE
40,Harris,-0.3,1511,41.00691080093384,general,3,1.9,2024-07-15,FALSE
41,Stein,-0.3,1110,56.67460299562663,general,3,1.9,2024-09-06,FALSE
42,DeSantis,-0.3,2108,56.26386918127537,general,3,1.9,2024-09-09,FALSE
43,Trump,-0.3,704,55.300994222052395,general,3,1.9,2024-07-31,FALSE
44,DeSantis,-0.3,2325,57.492983979173005,general,3,1.9,2024-03-20,FALSE
45,Biden,-0.3,2142,51.80617347359657,general,3,1.9,2024-07-04,FALSE
46,Harris,-0.3,1406,47.7639730181545,general,3,1.9,2024-08-28,FALSE
47,DeSantis,-0.3,2537,55.297026238404214,general,3,1.9,2024-08-02,FALSE
48,Biden,-0.3,913,53.0199502967298,general,3,1.9,2024-03-26,FALSE
49,Harris,-0.3,2659,59.82007815036923,general,3,1.9,2024-08-19,FALSE
50,DeSantis,-0.3,766,46.500826119445264,general,3,1.9,2024-04-06,FALSE
51,Biden,-0.3,1822,40.60120984446257,general,3,1.9,2024-06-26,FALSE
52,DeSantis,-0.3,1796,47.414707406423986,general,3,1.9,2024-01-20,FALSE
53,Kennedy,-0.3,2763,56.71484688296914,general,3,1.9,2024-08-04,FALSE
54,Biden,-0.3,831,44.20623634941876,general,3,1.9,2024-03-18,FALSE
55,West,-0.3,1832,52.384015219286084,general,3,1.9,2024-08-24,FALSE
56,Kennedy,-0.3,1657,52.586904359050095,general,3,1.9,2024-03-17,FALSE
57,Harris,-0.3,1882,51.834495505318046,general,3,1.9,2024-08-29,FALSE
58,Harris,-0.3,1541,46.12685797736049,general,3,1.9,2024-02-12,FALSE
59,Kennedy,-0.3,2724,48.40426830109209,general,3,1.9,2024-01-15,FALSE
60,Kennedy,-0.3,1685,59.86970782279968,general,3,1.9,2024-08-30,FALSE
61,West,-0.3,2973,40.3361830720678,general,3,1.9,2024-07-16,FALSE
62,Oliver,-0.3,931,43.634113357402384,general,3,1.9,2024-05-09,FALSE
63,Biden,-0.3,727,56.022544763982296,general,3,1.9,2024-07-28,FALSE
64,Harris,-0.3,1249,41.766081703826785,general,3,1.9,2024-04-28,FALSE
65,Biden,-0.3,1020,54.41164727322757,general,3,1.9,2024-07-02,FALSE
66,Oliver,-0.3,2995,40.390301682055,general,3,1.9,2024-08-18,FALSE
67,Kennedy,-0.3,1019,56.136018806137145,general,3,1.9,2024-04-14,FALSE
68,Harris,-0.3,1082,55.12216140516102,general,3,1.9,2024-09-04,FALSE
69,DeSantis,-0.3,1861,58.64107499830425,general,3,1.9,2024-03-11,FALSE
70,DeSantis,-0.3,943,47.99818030092865,general,3,1.9,2024-06-08,FALSE
71,Trump,-0.3,2231,52.45570777915418,general,3,1.9,2024-04-25,FALSE
72,Stein,-0.3,2681,44.543782197870314,general,3,1.9,2024-10-05,FALSE
73,DeSantis,-0.3,2443,46.69314017985016,general,3,1.9,2024-07-04,FALSE
74,Kennedy,-0.3,1601,47.79687845148146,general,3,1.9,2024-04-15,FALSE
75,Biden,-0.3,2826,53.30435580108315,general,3,1.9,2024-05-12,FALSE
76,Harris,-0.3,1654,56.0593379708007,general,3,1.9,2024-10-16,FALSE
77,Harris,-0.3,2746,40.37988536991179,general,3,1.9,2024-03-27,FALSE
78,Oliver,-0.3,1495,45.115425386466086,general,3,1.9,2024-10-27,FALSE
79,Oliver,-0.3,2273,44.99557149130851,general,3,1.9,2024-03-25,FALSE
80,Stein,-0.3,1243,52.46672462206334,general,3,1.9,2024-10-13,FALSE
81,Stein,-0.3,849,51.2578005483374,general,3,1.9,2024-05-09,FALSE
82,West,-0.3,1004,47.56908294279128,general,3,1.9,2024-04-18,FALSE
83,Harris,-0.3,2778,59.11537586711347,general,3,1.9,2024-03-15,TRUE
84,Stein,-0.3,1967,56.473629800602794,general,3,1.9,2024-05-16,TRUE
85,Oliver,-0.3,2986,55.690195742063224,general,3,1.9,2024-07-18,FALSE
86,Oliver,-0.3,597,40.731925992295146,general,3,1.9,2024-02-16,FALSE
87,Trump,-0.3,1199,49.071116549894214,general,3,1.9,2024-03-10,TRUE
88,Stein,-0.3,1275,58.959722449071705,general,3,1.9,2024-03-27,FALSE
89,Kennedy,-0.3,2643,56.14335311111063,general,3,1.9,2024-10-13,FALSE
90,Biden,-0.3,2844,46.82036020793021,general,3,1.9,2024-08-15,FALSE
91,West,-0.3,1371,57.344387006014585,general,3,1.9,2024-02-22,FALSE
92,Stein,-0.3,2643,44.29764151573181,general,3,1.9,2024-06-25,FALSE
93,Trump,-0.3,2124,40.80952810123563,general,3,1.9,2024-10-03,FALSE
94,Kennedy,-0.3,1355,52.995737716555595,general,3,1.9,2024-11-01,FALSE
95,Kennedy,-0.3,1180,44.710347088985145,general,3,1.9,2024-03-23,TRUE
96,Stein,-0.3,1273,54.730332591570914,general,3,1.9,2024-04-30,TRUE
97,Harris,-0.3,777,54.97834613081068,general,3,1.9,2024-02-13,FALSE
98,Harris,-0.3,1560,42.33190409839153,general,3,1.9,2024-02-21,TRUE
99,Stein,-0.3,1220,45.67469667177647,general,3,1.9,2024-02-07,FALSE
100,Oliver,-0.3,511,49.64477811008692,general,3,1.9,2024-03-20,FALSE
101,Stein,-0.3,1999,54.779196763411164,general,3,1.9,2024-01-19,FALSE
102,Trump,-0.3,2243,48.47493581939489,general,3,1.9,2024-01-20,TRUE
103,DeSantis,-0.3,536,40.7417475618422,general,3,1.9,2024-07-23,FALSE
104,DeSantis,-0.3,1509,54.28667988162488,general,3,1.9,2024-01-04,TRUE
105,DeSantis,-0.3,2785,40.666032480075955,general,3,1.9,2024-02-09,FALSE
106,Harris,-0.3,2710,44.75860639009625,general,3,1.9,2024-02-13,TRUE
107,DeSantis,-0.3,1847,45.996116190217435,general,3,1.9,2024-01-23,FALSE
108,Oliver,-0.3,1067,51.80902295280248,general,3,1.9,2024-01-23,FALSE
109,Kennedy,-0.3,1694,41.310939844697714,general,3,1.9,2024-04-12,FALSE
110,Kennedy,-0.3,1497,41.39133105054498,general,3,1.9,2024-07-14,FALSE
111,Biden,-0.3,2721,42.019957951270044,general,3,1.9,2024-01-15,FALSE
112,Stein,-0.3,1780,42.99026802647859,general,3,1.9,2024-04-30,FALSE
113,DeSantis,-0.3,2223,52.892778222449124,general,3,1.9,2024-01-16,FALSE
114,Oliver,-0.3,742,45.08749601431191,general,3,1.9,2024-01-19,FALSE
115,Harris,-0.3,1905,55.17979044467211,general,3,1.9,2024-07-09,FALSE
116,Oliver,-0.3,2125,46.025673313997686,general,3,1.9,2024-06-07,TRUE
117,Stein,-0.3,1932,45.580928241834044,general,3,1.9,2024-03-23,FALSE
118,Stein,-0.3,2026,40.248175230808556,general,3,1.9,2024-08-09,FALSE
119,Harris,-0.3,1807,47.68353944644332,general,3,1.9,2024-03-06,FALSE
120,Harris,-0.3,1058,54.76349778473377,general,3,1.9,2024-07-15,FALSE
121,Kennedy,-0.3,1090,59.66489531099796,general,3,1.9,2024-05-10,FALSE
122,Kennedy,-0.3,1609,57.492654086090624,general,3,1.9,2024-07-03,FALSE
123,West,-0.3,730,40.93033282086253,general,3,1.9,2024-04-20,FALSE
124,Oliver,-0.3,2644,55.783108873292804,general,3,1.9,2024-07-10,FALSE
125,Stein,-0.3,1086,58.21547731757164,general,3,1.9,2024-09-26,TRUE
126,Biden,-0.3,1614,43.848146479576826,general,3,1.9,2024-02-08,FALSE
127,Kennedy,-0.3,2710,42.73091936483979,general,3,1.9,2024-06-19,FALSE
128,Kennedy,-0.3,1609,47.18951073475182,general,3,1.9,2024-10-24,FALSE
129,Oliver,-0.3,2214,51.313265529461205,general,3,1.9,2024-01-30,FALSE
130,Biden,-0.3,634,51.95641316007823,general,3,1.9,2024-09-20,FALSE
131,Biden,-0.3,2518,52.35205577686429,general,3,1.9,2024-01-30,FALSE
132,Oliver,-0.3,2056,52.67625659238547,general,3,1.9,2024-05-02,TRUE
133,Oliver,-0.3,1396,41.760433465242386,general,3,1.9,2024-08-11,FALSE
134,Harris,-0.3,1417,54.54115898814052,general,3,1.9,2024-10-07,FALSE
135,West,-0.3,2835,59.19667027890682,general,3,1.9,2024-06-09,FALSE
136,Harris,-0.3,1658,42.33009237796068,general,3,1.9,2024-03-03,FALSE
137,Harris,-0.3,1338,56.56477753072977,general,3,1.9,2024-05-18,FALSE
138,Stein,-0.3,2896,40.20026717800647,general,3,1.9,2024-09-18,FALSE
139,DeSantis,-0.3,2724,46.49649502243847,general,3,1.9,2024-03-31,TRUE
140,DeSantis,-0.3,2330,58.76987402327359,general,3,1.9,2024-04-30,FALSE
141,West,-0.3,911,48.52863291744143,general,3,1.9,2024-05-09,FALSE
142,Oliver,-0.3,1111,56.03127596434206,general,3,1.9,2024-07-12,TRUE
143,West,-0.3,1254,43.15379308536649,general,3,1.9,2024-09-04,FALSE
144,West,-0.3,2185,45.6308180000633,general,3,1.9,2024-04-18,FALSE
145,Kennedy,-0.3,1307,48.536337492987514,general,3,1.9,2024-07-22,FALSE
146,Biden,-0.3,2070,46.558278198353946,general,3,1.9,2024-09-27,FALSE
147,Oliver,-0.3,1665,47.65796836465597,general,3,1.9,2024-10-20,FALSE
148,Stein,-0.3,1174,57.91716291569173,general,3,1.9,2024-04-08,TRUE
149,Trump,-0.3,1177,43.41792620718479,general,3,1.9,2024-07-24,FALSE
150,DeSantis,-0.3,2447,47.72896564565599,general,3,1.9,2024-05-14,FALSE
151,Harris,-0.3,982,56.10547889955342,general,3,1.9,2024-01-03,FALSE
152,Kennedy,-0.3,2433,43.27459041029215,general,3,1.9,2024-02-22,FALSE
153,West,-0.3,690,58.040996310301125,general,3,1.9,2024-08-16,FALSE
154,Harris,-0.3,931,41.562522035092115,general,3,1.9,2024-09-02,FALSE
155,West,-0.3,2944,40.2153244195506,general,3,1.9,2024-05-03,FALSE
156,Trump,-0.3,2766,57.498359428718686,general,3,1.9,2024-08-12,FALSE
157,Trump,-0.3,1288,41.91531534772366,general,3,1.9,2024-08-29,TRUE
158,Biden,-0.3,2308,42.719574673101306,general,3,1.9,2024-06-06,FALSE
159,West,-0.3,1081,56.68957179877907,general,3,1.9,2024-02-05,FALSE
160,Oliver,-0.3,1547,42.83086125738919,general,3,1.9,2024-03-30,TRUE
161,Biden,-0.3,2585,59.819305986166,general,3,1.9,2024-10-08,FALSE
162,Kennedy,-0.3,1964,50.299747246317565,general,3,1.9,2024-10-13,FALSE
163,Harris,-0.3,1861,59.36652418226004,general,3,1.9,2024-02-05,FALSE
164,Oliver,-0.3,2274,59.51416735071689,general,3,1.9,2024-05-23,FALSE
165,Harris,-0.3,2263,53.26397043187171,general,3,1.9,2024-09-08,FALSE
166,Stein,-0.3,601,41.23171351850033,general,3,1.9,2024-01-22,FALSE
167,Biden,-0.3,1255,47.249702285043895,general,3,1.9,2024-08-22,FALSE
168,Harris,-0.3,1709,49.301316905766726,general,3,1.9,2024-02-28,FALSE
169,Harris,-0.3,608,57.605792339891195,general,3,1.9,2024-04-16,FALSE
170,Biden,-0.3,2877,53.91326838172972,general,3,1.9,2024-01-06,FALSE
171,Kennedy,-0.3,1789,47.88068998605013,general,3,1.9,2024-04-01,FALSE
172,Harris,-0.3,2503,58.2194752804935,general,3,1.9,2024-10-01,FALSE
173,Harris,-0.3,2274,54.65436389204115,general,3,1.9,2024-03-26,FALSE
174,DeSantis,-0.3,1575,45.76692200731486,general,3,1.9,2024-04-18,FALSE
175,West,-0.3,2170,54.16608958505094,general,3,1.9,2024-09-14,FALSE
176,Biden,-0.3,678,50.20775015465915,general,3,1.9,2024-04-12,FALSE
177,DeSantis,-0.3,1670,53.70477174408734,general,3,1.9,2024-05-02,FALSE
178,Stein,-0.3,2524,57.63471315149218,general,3,1.9,2024-06-04,FALSE
179,DeSantis,-0.3,1298,47.253221310675144,general,3,1.9,2024-01-10,FALSE
180,Oliver,-0.3,2635,54.02740525547415,general,3,1.9,2024-09-27,FALSE
181,DeSantis,-0.3,1654,54.85732330940664,general,3,1.9,2024-05-23,FALSE
182,West,-0.3,1277,52.54654857330024,general,3,1.9,2024-03-28,FALSE
183,DeSantis,-0.3,803,42.98193766735494,general,3,1.9,2024-04-10,FALSE
184,Kennedy,-0.3,2903,52.55126870702952,general,3,1.9,2024-08-22,FALSE
185,Harris,-0.3,923,57.99279595725238,general,3,1.9,2024-09-30,FALSE
186,Trump,-0.3,1074,55.47148022335023,general,3,1.9,2024-04-02,FALSE
187,West,-0.3,1530,50.27778616640717,general,3,1.9,2024-04-22,FALSE
188,Oliver,-0.3,1966,45.31611303333193,general,3,1.9,2024-02-24,FALSE
189,Stein,-0.3,2226,42.76742096990347,general,3,1.9,2024-07-18,TRUE
190,Biden,-0.3,2752,40.0417117215693,general,3,1.9,2024-06-16,FALSE
191,Stein,-0.3,2425,54.855976486578584,general,3,1.9,2024-06-05,FALSE
192,West,-0.3,900,54.491296419873834,general,3,1.9,2024-01-29,FALSE
193,Harris,-0.3,573,40.3099779272452,general,3,1.9,2024-03-10,FALSE
194,Biden,-0.3,2465,49.477820941247046,general,3,1.9,2024-06-21,FALSE
195,Harris,-0.3,1603,42.13124388363212,general,3,1.9,2024-04-13,FALSE
196,Trump,-0.3,851,42.22771847154945,general,3,1.9,2024-05-01,FALSE
197,DeSantis,-0.3,1868,44.190980130806565,general,3,1.9,2024-01-21,FALSE
198,Kennedy,-0.3,2278,48.125356091186404,general,3,1.9,2024-07-06,FALSE
199,Kennedy,-0.3,2612,41.838155034929514,general,3,1.9,2024-08-07,FALSE
200,Oliver,-0.3,1908,45.01730410847813,general,3,1.9,2024-04-15,FALSE
201,DeSantis,-0.3,2929,47.732081417925656,general,3,1.9,2024-07-02,FALSE
202,Oliver,-0.3,1289,46.43593901768327,general,3,1.9,2024-04-25,FALSE
203,Biden,-0.3,2633,57.61917558033019,general,3,1.9,2024-05-23,FALSE
204,Trump,-0.3,2630,51.60499927587807,general,3,1.9,2024-06-19,FALSE
205,Stein,-0.3,1678,53.68004749994725,general,3,1.9,2024-04-12,FALSE
206,Kennedy,-0.3,931,45.97644248511642,general,3,1.9,2024-07-12,FALSE
207,Harris,-0.3,1130,40.39586700964719,general,3,1.9,2024-06-21,FALSE
208,Trump,-0.3,2502,58.37194362655282,general,3,1.9,2024-07-19,FALSE
209,Harris,-0.3,1829,55.916420025750995,general,3,1.9,2024-03-12,FALSE
210,Kennedy,-0.3,1171,50.919746276922524,general,3,1.9,2024-08-09,FALSE
211,Kennedy,-0.3,1304,46.05098128784448,general,3,1.9,2024-08-06,FALSE
212,Trump,-0.3,2272,47.24794290494174,general,3,1.9,2024-07-24,FALSE
213,Biden,-0.3,1134,52.34718790277839,general,3,1.9,2024-02-19,FALSE
214,Stein,-0.3,2699,48.78310681320727,general,3,1.9,2024-02-29,FALSE
215,Stein,-0.3,1834,51.436235858127475,general,3,1.9,2024-05-08,FALSE
216,Biden,-0.3,906,46.16811297368258,general,3,1.9,2024-09-17,FALSE
217,DeSantis,-0.3,1152,59.476526733487844,general,3,1.9,2024-06-18,FALSE
218,DeSantis,-0.3,1738,50.09445794392377,general,3,1.9,2024-09-11,TRUE
219,Biden,-0.3,766,48.658673791214824,general,3,1.9,2024-05-04,FALSE
220,Biden,-0.3,1354,43.26300179120153,general,3,1.9,2024-07-22,FALSE
221,DeSantis,-0.3,2164,43.34833920933306,general,3,1.9,2024-08-28,FALSE
222,Oliver,-0.3,2888,49.56285421270877,general,3,1.9,2024-04-24,TRUE
223,Stein,-0.3,555,50.18161930143833,general,3,1.9,2024-02-09,FALSE
224,Biden,-0.3,2899,56.026286613196135,general,3,1.9,2024-03-27,TRUE
225,DeSantis,-0.3,1715,45.556628997437656,general,3,1.9,2024-05-27,FALSE
226,Biden,-0.3,2519,58.95229666493833,general,3,1.9,2024-06-07,FALSE
227,West,-0.3,1739,56.81029737461358,general,3,1.9,2024-02-07,FALSE
228,DeSantis,-0.3,2062,52.13798948097974,general,3,1.9,2024-04-07,FALSE
229,Harris,-0.3,2916,41.41124602407217,general,3,1.9,2024-08-08,FALSE
230,Biden,-0.3,2347,42.21112355124205,general,3,1.9,2024-10-09,FALSE
231,Harris,-0.3,1052,44.19396725483239,general,3,1.9,2024-06-22,FALSE
232,Stein,-0.3,638,49.957882347516716,general,3,1.9,2024-06-07,FALSE
233,Stein,-0.3,1199,56.5430500311777,general,3,1.9,2024-08-15,FALSE
234,Oliver,-0.3,1706,40.12762480415404,general,3,1.9,2024-01-09,FALSE
235,Stein,-0.3,1376,58.64674100186676,general,3,1.9,2024-02-22,FALSE
236,Stein,-0.3,2531,46.616434045135975,general,3,1.9,2024-03-11,FALSE
237,DeSantis,-0.3,1685,53.30049203708768,general,3,1.9,2024-09-29,FALSE
238,Kennedy,-0.3,1613,42.69849920645356,general,3,1.9,2024-06-16,FALSE
239,Stein,-0.3,2383,51.415811390616,general,3,1.9,2024-01-13,FALSE
240,Biden,-0.3,2189,41.90160032827407,general,3,1.9,2024-03-06,FALSE
241,Trump,-0.3,1645,51.37588018551469,general,3,1.9,2024-09-21,FALSE
242,Harris,-0.3,748,41.768549820408225,general,3,1.9,2024-01-28,FALSE
243,Trump,-0.3,1990,55.78313809353858,general,3,1.9,2024-03-19,FALSE
244,Kennedy,-0.3,1908,42.49977870378643,general,3,1.9,2024-02-28,FALSE
245,Trump,-0.3,856,48.07927450630814,general,3,1.9,2024-06-07,FALSE
246,Kennedy,-0.3,2179,57.45251964312047,general,3,1.9,2024-05-01,FALSE
247,Harris,-0.3,1329,48.8640105817467,general,3,1.9,2024-08-24,FALSE
248,Oliver,-0.3,616,57.557537904940546,general,3,1.9,2024-08-20,FALSE
249,Kennedy,-0.3,1058,57.34711938071996,general,3,1.9,2024-02-10,FALSE
250,Oliver,-0.3,2519,48.24818272609264,general,3,1.9,2024-05-16,FALSE
251,DeSantis,-0.3,1656,50.725013110786676,general,3,1.9,2024-02-21,FALSE
252,Stein,-0.3,2173,55.00100828707218,general,3,1.9,2024-04-12,FALSE
253,Stein,-0.3,1754,42.095776689238846,general,3,1.9,2024-03-23,FALSE
254,Trump,-0.3,2668,55.4165774397552,general,3,1.9,2024-04-22,FALSE
255,Trump,-0.3,2379,59.94582970626652,general,3,1.9,2024-06-05,FALSE
256,DeSantis,-0.3,2709,45.36304611247033,general,3,1.9,2024-02-23,TRUE
257,Oliver,-0.3,1683,47.56223347969353,general,3,1.9,2024-08-25,FALSE
258,Stein,-0.3,2292,57.11073280312121,general,3,1.9,2024-03-09,FALSE
259,DeSantis,-0.3,2877,50.49120128620416,general,3,1.9,2024-05-26,FALSE
260,Trump,-0.3,1017,53.7547915475443,general,3,1.9,2024-01-31,FALSE
261,Stein,-0.3,2810,58.58626775909215,general,3,1.9,2024-08-06,FALSE
262,Harris,-0.3,1619,54.96482193470001,general,3,1.9,2024-08-03,TRUE
263,West,-0.3,871,50.22042430471629,general,3,1.9,2024-03-27,FALSE
264,Oliver,-0.3,1112,57.79674503020942,general,3,1.9,2024-02-17,TRUE
265,West,-0.3,938,47.756641479209065,general,3,1.9,2024-10-12,FALSE
266,West,-0.3,653,59.68283186201006,general,3,1.9,2024-09-25,FALSE
267,Stein,-0.3,2405,58.78404763061553,general,3,1.9,2024-03-04,FALSE
268,West,-0.3,2691,48.69162033777684,general,3,1.9,2024-09-20,FALSE
269,Oliver,-0.3,2690,52.72065181750804,general,3,1.9,2024-08-17,FALSE
270,West,-0.3,1655,52.44428855367005,general,3,1.9,2024-06-19,TRUE
271,DeSantis,-0.3,1589,40.915203928016126,general,3,1.9,2024-02-19,FALSE
272,Trump,-0.3,1554,59.70240879803896,general,3,1.9,2024-08-30,FALSE
273,Kennedy,-0.3,568,50.90009143576026,general,3,1.9,2024-06-05,FALSE
274,Trump,-0.3,2602,56.12108373083174,general,3,1.9,2024-07-01,FALSE
275,Trump,-0.3,1812,50.89926205575466,general,3,1.9,2024-05-17,FALSE
276,West,-0.3,2157,55.38206004537642,general,3,1.9,2024-03-11,FALSE
277,Biden,-0.3,759,58.49109063856304,general,3,1.9,2024-01-06,FALSE
278,Stein,-0.3,2632,58.82192539051175,general,3,1.9,2024-10-14,FALSE
279,Harris,-0.3,958,50.87915990501642,general,3,1.9,2024-10-21,FALSE
280,Harris,-0.3,2718,55.10909211821854,general,3,1.9,2024-03-01,FALSE
281,West,-0.3,1795,54.326679427176714,general,3,1.9,2024-09-20,FALSE
282,Stein,-0.3,2517,55.99754202179611,general,3,1.9,2024-02-28,FALSE
283,Harris,-0.3,2016,51.491131340153515,general,3,1.9,2024-07-20,FALSE
284,Oliver,-0.3,2573,48.52365779224783,general,3,1.9,2024-10-15,FALSE
285,DeSantis,-0.3,2968,40.33113682176918,general,3,1.9,2024-02-28,TRUE
286,Harris,-0.3,1918,47.0739260641858,general,3,1.9,2024-08-15,FALSE
287,Stein,-0.3,1508,49.4018455222249,general,3,1.9,2024-09-03,FALSE
288,Kennedy,-0.3,2856,46.70356765855104,general,3,1.9,2024-01-18,FALSE
289,Harris,-0.3,2807,56.20214998256415,general,3,1.9,2024-08-10,FALSE
290,DeSantis,-0.3,1913,47.50188787467778,general,3,1.9,2024-10-26,FALSE
291,Trump,-0.3,1586,44.3785914266482,general,3,1.9,2024-10-25,FALSE
292,West,-0.3,1830,52.820212789811194,general,3,1.9,2024-06-27,FALSE
293,Harris,-0.3,1575,41.041810447350144,general,3,1.9,2024-02-05,FALSE
294,Stein,-0.3,1643,55.94781581312418,general,3,1.9,2024-07-16,FALSE
295,Stein,-0.3,1543,55.14611891005188,general,3,1.9,2024-09-22,FALSE
296,Biden,-0.3,2559,52.57255642209202,general,3,1.9,2024-10-07,FALSE
297,Stein,-0.3,2560,49.531829161569476,general,3,1.9,2024-03-28,FALSE
298,DeSantis,-0.3,1695,55.25151726324111,general,3,1.9,2024-07-22,FALSE
299,Trump,-0.3,1585,50.753519888967276,general,3,1.9,2024-06-10,FALSE
300,Trump,-0.3,2904,48.315271898172796,general,3,1.9,2024-09-19,FALSE
301,Oliver,-0.3,595,49.17157918680459,general,3,1.9,2024-02-03,FALSE
302,West,-0.3,1041,47.97330634202808,general,3,1.9,2024-03-21,FALSE
303,Harris,-0.3,2958,42.851732545532286,general,3,1.9,2024-09-17,FALSE
304,Trump,-0.3,2199,58.465292574837804,general,3,1.9,2024-10-19,FALSE
305,DeSantis,-0.3,1478,54.30145108141005,general,3,1.9,2024-05-01,FALSE
306,Harris,-0.3,2034,54.66074381954968,general,3,1.9,2024-07-19,FALSE
307,Biden,-0.3,1879,51.667728326283395,general,3,1.9,2024-04-15,FALSE
308,Biden,-0.3,1769,42.976456503383815,general,3,1.9,2024-01-06,FALSE
309,Trump,-0.3,1601,53.470689598470926,general,3,1.9,2024-09-16,FALSE
310,Stein,-0.3,1251,42.03573876526207,general,3,1.9,2024-06-02,FALSE
311,Kennedy,-0.3,1566,50.111339036375284,general,3,1.9,2024-09-17,FALSE
312,Trump,-0.3,2223,49.422575109638274,general,3,1.9,2024-06-06,FALSE
313,Harris,-0.3,2349,47.75587935466319,general,3,1.9,2024-09-25,FALSE
314,Biden,-0.3,2859,49.30494737345725,general,3,1.9,2024-09-21,FALSE
315,DeSantis,-0.3,1814,56.66903970763087,general,3,1.9,2024-07-24,FALSE
316,Harris,-0.3,2983,50.51379927434027,general,3,1.9,2024-04-09,FALSE
317,Kennedy,-0.3,1523,51.841647773981094,general,3,1.9,2024-02-17,FALSE
318,DeSantis,-0.3,1479,58.009685785509646,general,3,1.9,2024-04-08,FALSE
319,Biden,-0.3,2317,54.95654059574008,general,3,1.9,2024-01-09,FALSE
320,West,-0.3,2894,59.43563733249903,general,3,1.9,2024-03-15,FALSE
321,Kennedy,-0.3,2409,58.39294380042702,general,3,1.9,2024-01-07,TRUE
322,West,-0.3,2550,54.33061758521944,general,3,1.9,2024-01-13,FALSE
323,DeSantis,-0.3,1782,44.33642969466746,general,3,1.9,2024-05-05,FALSE
324,Stein,-0.3,1705,43.59497420955449,general,3,1.9,2024-10-15,FALSE
325,Harris,-0.3,2320,46.1514260340482,general,3,1.9,2024-05-15,FALSE
326,Kennedy,-0.3,868,48.695477596484125,general,3,1.9,2024-04-18,FALSE
327,Kennedy,-0.3,1514,42.629908388480544,general,3,1.9,2024-09-07,FALSE
328,West,-0.3,2151,48.73706544749439,general,3,1.9,2024-10-25,FALSE
